temperatura,humidade,horario,dia_da_semana,nivel
30,53,1095,5,1
29,55,1120,5,1
28,49,1104,5,1
29,49,1122,5,1
28,50,1127,5,1
27,49,1097,5,1
27,53,1088,5,1
30,48,1105,5,1
27,49,1090,5,1
29,49,1108,5,1
28,53,1096,5,1
30,52,1134,5,1
30,54,1083,5,1
27,54,1128,5,1
30,48,1092,5,1
28,52,1120,5,1
29,55,1081,5,1
28,53,1108,5,1
27,54,1102,5,1
29,50,1083,5,1
28,52,1099,5,1
28,51,1134,5,1
28,53,1128,5,1
29,53,1092,5,1
30,52,1088,5,1
27,51,1110,5,1
28,49,1111,5,1
28,52,1094,5,1
29,48,1137,5,1
27,53,1110,5,1
29,51,1087,5,1
29,49,1095,5,1
30,52,1126,5,1
27,48,1139,5,1
30,52,1090,5,1
28,50,1137,5,1
29,55,1122,5,1
27,49,1087,5,1
30,48,1097,5,1
27,51,1097,5,1
28,52,1125,5,1
27,55,1110,5,1
27,48,1113,5,1
30,54,1084,5,1
30,48,1123,5,1
27,54,1119,5,1
27,48,1112,5,1
27,55,1085,5,1
28,51,1099,5,1
29,53,1136,5,1
29,49,1139,5,1
28,52,1138,5,1
29,48,1102,5,1
29,54,1090,5,1
30,50,1094,5,1
30,51,1103,5,1
28,48,1098,5,1
29,53,1127,5,1
27,54,1108,5,1
29,54,1134,5,1
30,54,1103,5,1
28,54,1127,5,1
28,48,1130,5,1
27,49,1101,5,1
30,53,1121,5,1
29,51,1080,5,1
30,52,1086,5,1
29,54,1121,5,1
30,48,1116,5,1
30,48,1132,5,1
27,52,1127,5,1
29,54,1092,5,1
30,53,1112,5,1
29,50,1127,5,1
28,55,1096,5,1
30,54,1130,5,1
28,48,1087,5,1
28,53,1097,5,1
29,48,1127,5,1
27,54,1116,5,1
30,55,1121,5,1
27,54,1102,5,1
29,50,1101,5,1
27,54,1137,5,1
28,48,1095,5,1
28,55,1097,5,1
28,51,1129,5,1
27,53,1085,5,1
29,51,1123,5,1
29,55,1132,5,1
30,54,1140,5,1
30,51,1133,5,1
30,51,1089,5,1
29,50,1106,5,1
27,48,1138,5,1
