temperatura,humidade,minutos,nivel
20,48,483,1
22,53,484,1
20,49,484,1
22,50,481,1
21,54,480,1
23,55,483,1
21,53,489,1
22,51,480,1
23,48,484,1
20,54,481,1
21,52,486,1
22,51,483,1
23,52,488,1
22,49,480,1
23,48,483,1
23,52,486,1
23,54,489,1
21,49,490,1
21,51,484,1
20,53,488,1
23,53,485,1
20,48,488,1
21,49,488,1
23,53,485,1
21,49,482,1
21,54,481,1
21,54,487,1
22,55,484,1
21,51,489,1
23,54,482,1
21,53,480,1
23,50,485,1
21,52,489,1
22,54,480,1
23,52,487,1
20,48,488,1
22,54,489,1
20,53,484,1
20,54,482,1
20,49,480,1
20,54,485,1
21,51,481,1
22,55,486,1
23,50,488,1
23,51,483,1
20,48,480,1
22,51,482,1
22,49,490,1
20,55,481,1
23,49,488,1
21,48,487,1
22,51,485,1
22,51,487,1
20,48,485,1
23,49,489,1
22,52,488,1
20,51,484,1
20,54,488,1
21,48,486,1
21,54,489,1
20,53,483,1
20,52,484,1
23,51,480,1
21,52,488,1
21,53,482,1
23,54,488,1
20,52,488,1
21,55,481,1
23,55,485,1
22,48,489,1
22,54,485,1
22,52,481,1
21,55,485,1
22,52,486,1
23,53,488,1
23,52,486,1
20,54,483,1
22,48,486,1
20,50,486,1
20,51,485,1
22,54,489,1
23,48,486,1
23,48,482,1
23,55,486,1
21,49,488,1
20,54,483,1
22,54,485,1
23,48,480,1
20,55,484,1
23,52,490,1
22,51,485,1
21,49,484,1
20,53,488,1
20,52,481,1
20,53,489,1
23,50,483,1
23,54,484,1
20,54,488,1
21,53,489,1
22,50,483,1
23,49,480,1
23,55,481,1
22,48,490,1
20,54,487,1
21,49,482,1
21,51,480,1
23,48,485,1
23,52,485,1
23,54,483,1
21,51,485,1
22,50,486,1
20,49,480,1
22,55,484,1
21,48,483,1
20,48,485,1
20,55,484,1
21,49,487,1
21,54,484,1
20,52,483,1
23,48,482,1
21,49,480,1
21,52,488,1
21,50,488,1
20,53,485,1
23,49,488,1
23,49,489,1
20,50,487,1
21,55,490,1
23,54,484,1
23,50,488,1
23,48,483,1
22,54,486,1
22,48,488,1
23,49,485,1
20,51,486,1
20,54,482,1
21,50,484,1
20,55,480,1
20,55,485,1
22,48,486,1
20,55,480,1
20,51,485,1
22,54,483,1
23,53,481,1
20,49,485,1
22,53,482,1
22,48,483,1
20,49,482,1
20,53,485,1
22,49,481,1
22,49,486,1
23,54,486,1
20,52,487,1
20,51,490,1
22,50,488,1
23,50,489,1
22,53,490,1
22,52,482,1
21,54,482,1
22,55,481,1
21,55,487,1
21,51,489,1
23,49,481,1
20,48,484,1
21,50,488,1
23,51,484,1
20,50,484,1
23,52,480,1
22,55,490,1
21,55,487,1
21,51,488,1
22,48,480,1
21,53,487,1
21,49,487,1
22,51,485,1
22,50,486,1
20,55,489,1
22,51,484,1
20,49,480,1
21,49,483,1
22,55,484,1
23,51,490,1
22,55,490,1
