temperatura,humidade,horario,dia_da_semana,nivel
21,49,545,0,1
22,48,545,0,1
21,55,549,0,1
21,53,540,0,1
23,51,543,0,1
22,55,540,0,1
23,52,549,0,1
22,52,540,0,1
23,55,548,0,1
21,53,543,0,1
20,50,543,0,1
21,52,547,0,1
22,55,544,0,1
20,50,542,0,1
23,52,540,0,1
22,49,544,0,1
20,52,541,0,1
23,53,544,0,1
22,51,544,0,1
21,53,545,0,1
20,54,544,0,1
21,54,540,0,1
22,50,543,0,1
22,52,543,0,1
20,49,541,0,1
21,55,546,0,1
21,50,540,0,1
20,54,545,0,1
21,54,547,0,1
23,49,540,0,1
20,52,545,0,1
21,48,549,0,1
20,54,540,0,1
21,48,540,0,1
21,51,541,0,1
21,48,541,0,1
22,54,549,0,1
20,48,541,0,1
21,55,547,0,1
21,50,544,0,1
22,55,547,0,1
20,55,548,0,1
22,49,546,0,1
22,51,542,0,1
21,54,543,0,1
21,51,548,0,1
23,54,541,0,1
23,53,542,0,1
20,55,542,0,1
21,51,541,0,1
22,48,545,0,1
20,55,540,0,1
21,52,543,0,1
23,55,544,0,1
22,49,549,0,1
20,51,548,0,1
22,53,549,0,1
20,53,546,0,1
20,55,549,0,1
22,48,548,0,1
21,49,548,0,1
22,50,541,0,1
22,48,545,0,1
20,48,546,0,1
20,50,542,0,1
23,50,544,0,1
22,53,547,0,1
23,54,545,0,1
23,54,545,0,1
20,49,549,0,1
20,49,541,0,1
20,52,547,0,1
20,48,540,0,1
20,52,541,0,1
22,52,549,0,1
20,48,543,0,1
20,48,548,0,1
20,49,541,0,1
23,49,541,0,1
22,54,540,0,1
20,54,548,0,1
21,54,545,0,1
22,52,548,0,1
22,50,546,0,1
20,54,543,0,1
23,54,545,0,1
23,49,544,0,1
21,54,547,0,1
20,53,540,0,1
20,49,544,0,1
22,50,542,0,1
23,48,542,0,1
21,48,545,0,1
20,55,547,0,1
20,54,541,0,1
21,54,545,0,1
20,54,543,0,1
22,49,546,0,1
23,48,540,0,1
21,51,544,0,1
23,50,548,0,1
21,53,547,0,1
22,50,548,0,1
23,55,544,0,1
23,49,548,0,1
20,54,544,0,1
22,50,549,0,1
22,52,548,0,1
22,51,544,0,1
20,49,540,0,1
20,53,541,0,1
20,49,542,0,1
23,49,542,0,1
22,52,548,0,1
22,55,546,0,1
21,53,544,0,1
22,49,547,0,1
21,54,546,0,1
21,51,542,0,1
22,54,542,0,1
20,50,544,0,1
22,53,542,0,1
23,53,541,0,1
23,54,542,0,1
20,53,544,0,1
20,55,547,0,1
22,51,549,0,1
21,53,548,0,1
22,53,544,0,1
21,54,547,0,1
22,54,540,0,1
22,49,543,0,1
22,51,547,0,1
21,50,543,0,1
23,51,548,0,1
20,49,546,0,1
22,48,544,0,1
21,54,545,0,1
23,52,545,0,1
22,49,545,0,1
23,49,541,0,1
22,52,542,0,1
22,52,546,0,1
21,53,540,0,1
20,48,541,0,1
23,54,548,0,1
23,55,546,0,1
21,52,549,0,1
22,54,549,0,1
22,53,546,0,1
23,51,541,0,1
22,54,544,0,1
22,55,547,0,1
20,52,546,0,1
22,55,541,0,1
20,52,542,0,1
23,55,548,0,1
20,50,543,0,1
20,53,546,0,1
22,55,541,0,1
23,48,542,0,1
23,53,540,0,1
23,53,540,0,1
23,55,548,0,1
22,49,548,0,1
23,48,549,0,1
22,54,546,0,1
22,50,548,0,1
23,50,541,0,1
20,52,548,0,1
22,52,549,0,1
22,55,547,0,1
20,54,542,0,1
21,54,540,0,1
22,49,546,0,1
23,48,541,0,1
23,49,548,0,1
23,55,548,0,1
21,49,545,0,1
22,49,545,0,1
20,48,541,0,1
21,48,542,0,1
22,51,540,0,1
21,54,546,0,1
21,54,542,0,1
22,53,543,0,1
23,49,540,0,1
23,49,545,0,1
22,49,545,0,1
22,53,542,0,1
22,54,549,0,1
21,49,540,0,1
22,52,543,0,1
20,52,540,0,1
23,52,542,0,1
21,53,543,0,1
22,51,547,0,1
22,53,543,0,1
22,53,544,0,1
21,52,545,0,1
23,51,548,0,1
23,50,548,0,1
20,53,546,0,1
22,55,541,0,1
20,53,542,0,1
22,52,542,0,1
23,53,540,0,1
23,48,541,0,1
20,48,543,0,1
20,48,549,0,1
21,51,541,0,1
21,52,541,0,1
20,48,548,0,1
20,53,540,0,1
21,53,541,0,1
23,48,540,0,1
23,52,545,0,1
23,49,540,0,1
23,51,546,0,1
23,54,542,0,1
22,53,545,0,1
20,48,548,0,1
21,54,542,0,1
22,50,546,0,1
20,51,548,0,1
20,52,549,0,1
21,54,547,0,1
20,53,541,0,1
23,55,541,0,1
22,50,549,0,1
21,52,545,0,1
20,53,544,0,1
20,54,542,0,1
23,55,540,0,1
23,50,547,0,1
21,50,545,0,1
22,49,541,0,1
22,50,549,0,1
20,54,545,0,1
20,55,546,0,1
22,51,544,0,1
23,53,541,0,1
20,55,548,0,1
21,54,540,0,1
21,55,540,0,1
20,50,545,0,1
22,52,549,0,1
21,55,543,0,1
21,48,546,0,1
21,53,543,0,1
22,49,547,0,1
23,49,540,0,1
22,55,549,0,1
20,50,549,0,1
22,50,548,0,1
21,50,542,0,1
22,48,541,0,1
21,49,549,0,1
20,49,548,0,1
23,52,540,0,1
23,54,540,0,1
22,55,543,0,1
22,51,544,0,1
20,50,547,0,1
20,51,544,0,1
23,54,543,0,1
20,52,540,0,1
20,54,541,0,1
21,51,543,0,1
21,52,547,0,1
21,48,549,0,1
21,53,545,0,1
23,51,541,0,1
22,50,547,0,1
22,54,543,0,1
20,49,547,0,1
20,48,544,0,1
23,49,549,0,1
21,52,546,0,1
22,53,541,0,1
22,50,542,0,1
22,54,547,0,1
22,52,542,0,1
23,55,546,0,1
22,55,548,0,1
23,48,543,0,1
23,55,545,0,1
21,53,542,0,1
22,49,544,0,1
22,48,544,0,1
20,48,545,0,1
23,51,541,0,1
20,50,548,0,1
20,53,541,0,1
21,55,546,0,1
23,54,547,0,1
21,49,549,0,1
23,55,543,0,1
22,51,549,0,1
22,54,543,0,1
22,55,545,0,1
22,51,547,0,1
21,55,549,0,1
23,49,541,0,1
23,51,543,0,1
20,53,546,0,1
23,52,545,0,1
22,54,548,0,1
22,55,547,0,1
23,48,541,0,1
20,54,540,0,1
20,51,545,0,1
20,50,545,0,1
23,54,540,0,1
22,49,543,0,1
22,51,545,0,1
20,51,541,0,1
21,50,546,0,1
20,52,547,0,1
21,49,542,0,1
21,50,545,0,1
20,53,546,0,1
21,48,546,0,1
21,55,543,0,1
21,52,543,0,1
22,54,546,0,1
22,52,542,0,1
23,48,540,0,1
22,51,544,0,1
23,55,541,0,1
23,51,543,0,1
21,50,549,0,1
20,51,546,0,1
23,51,547,0,1
22,50,548,0,1
20,48,540,0,1
22,54,544,0,1
20,53,541,0,1
22,51,544,0,1
21,54,546,0,1
23,48,542,0,1
23,49,548,0,1
23,48,546,0,1
21,50,544,0,1
22,55,546,0,1
21,53,549,0,1
20,50,546,0,1
23,53,545,0,1
22,53,545,0,1
22,49,547,0,1
23,48,547,0,1
23,49,549,0,1
22,54,544,0,1
21,53,547,0,1
21,48,541,0,1
21,55,542,0,1
21,49,544,0,1
21,49,549,0,1
21,54,542,0,1
21,53,545,0,1
23,50,541,0,1
22,48,540,0,1
20,55,544,0,1
23,53,548,0,1
22,49,549,0,1
22,55,545,0,1
23,48,540,0,1
22,51,541,0,1
21,52,549,0,1
22,52,547,0,1
23,51,546,0,1
21,51,543,0,1
23,54,549,0,1
22,53,548,0,1
22,51,549,0,1
20,53,546,0,1
22,52,546,0,1
21,55,546,0,1
23,50,541,0,1
21,54,549,0,1
21,52,543,0,1
20,51,542,0,1
21,54,546,0,1
21,55,541,0,1
22,49,548,0,1
23,53,540,0,1
